Ingredient Name,Calories,Health Star Rating,GHG Emission (kg CO2eq/FU),Category,Scientific Name,Description,Energy (kJ),Protein (g),Sodium (mg),Sugars (g),Saturated fats (g),Fibre (g)
"Pumpkin, Queensland blue, peeled, fresh, raw",49,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita,"A medium sized pumpkin with blossom and stem ends flattened. It is deeply ribbed, hard slate grey skin with a yellow-orange flesh. Peeled and uncooked.",208,2,2,4.9,0,2.7
"Quail, lean flesh & skin, baked, no added fat",197,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Coturnix japonica,Flesh and skin portion of a quail. Baked with no added fat.,826,27.7,58,0,2.88,0
"Quail, lean flesh & skin, raw",172,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Coturnix japonica,Uncooked flesh and skin from a quail.,722,18.5,45,0,3.3,0
"Quandong, fruit, flesh",49,4,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Santalum acuminatum,Small fruit with a waxy shiny red skin. Supplied commercially in frozen state with kernels removed.,206,2.5,116,8.1,0,4.2
"Quince, peeled, raw",57,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cydonia oblonga,"Tart pome fruit, with a bright golden yellow skin and flesh. Similar in appearance to a pear.",242,0.5,16,11,0,5.2
"Radish, red skinned, unpeeled, raw",14,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Raphanus sativa,A red-skinned root vegetable with crisp white flesh. Unpeeled and uncooked.,62,0.8,20,1.9,0,1.1
"Radish, white skinned, peeled, raw",20,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Raphanus sativa,A white-skinned root vegetable with crisp white flesh. Peeled and uncooked.,86,0.7,28,2.9,0,1.8
Raisin,289,2,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vitis vinifera,"Dried red grapes, dark brown in colour.",1210,3.3,10,66.9,0.2,2.8
"Rambutan, raw",74,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Nephelium lappaceum,Small fruit with either red or yellow skin with soft spines.,312,1,2,15.7,0,2.8
"Raspberry, purchased frozen",48,4,1.52,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Rubus idaeus,"Small round berries characterised by a collection of tiny, shiny red drupelets. Frozen prior to sale.",203,1.1,1,6.5,0,5.6
"Raspberry, raw",48,4,1.52,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Rubus idaeus,"Small round berries characterised by a collection of tiny, shiny red drupelets.",203,1.1,1,6.5,0,5.6
"Rhubarb, stalk, raw",22,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Rheum rhabarbarum,Long reddish/pink stem with large green leaves. Leaves removed.,94,1.5,12,1.7,0,2.2
"Rice, brown, uncooked",348,3.5,3.81,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Oryza sativa,Grain with only the inedible outer husk removed. The bran coating gives it a light tan colour. Uncooked.,1458,7.9,2,1.1,0.51,3.5
"Rice, white, uncooked",341,3.5,3.81,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Oryza sativa,"Grain that has had its husk, bran and germ removed. The grains after milling have a slight off-white colour. Uncooked.",1427,7.3,1,0,0.17,0.8
"Rice, wild, boiled, no added salt",101,3.5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Zizania spp.,A long-grain marsh grass. Cooked by boiling in unsalted water.,426,4,3,0.7,0.04,1.8
"Rice, wild, uncooked",359,4.5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Zizania spp.,A long-grain marsh grass. Uncooked.,1505,14.7,7,2.5,0.14,6.2
"Rocket, fresh, raw",21,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Eruca sativa,"Long, soft green leaves with pronounced lobes and a distinctive peppery taste. Uncooked.",91,3.3,47,0.3,0,2.4
"Rye, grain, whole, uncooked",310,5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Secale cereale,"Small, oval-shaped brown grains. Uncooked, unmilled.",1300,11.4,5,1.7,0.36,17.3
"Salmon, Atlantic, fillet, grilled, no added fat",257,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Salmo salar,"Atlantic salmon fillet without skin, produced by aquaculture that has been grilled with no added fat.",1078,22.9,36,0,4.22,0
"Salmon, Atlantic, fillet, raw",230,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Salmo salar,"Uncooked Atlantic salmon fillet, produced by aquaculture.",965,20.5,32,0,3.77,0
"Salmon, Atlantic, fillet, steamed, no added fat",271,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Salmo salar,"Atlantic salmon fillet without skin, produced by aquaculture that has been steamed with no added fat.",1135,24.1,32,0,4.44,0
"Salmon, Pacific King, fillet, skinless, grilled, no added fat",306,3.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Salmo salar,"Pacific king salmon fillet without skin, produced by aquaculture that has been grilled with no added fat.",1284,20.2,33,0,6.32,0
"Salmon, Pacific King, fillet, skinless, raw",274,3.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Oncorhynchus tshawytscha,"Uncooked pacific king salmon fillet without skin, produced by aquaculture.",1149,18.1,30,0,5.65,0
"Salmon, Pacific King, fillet, steamed, no added fat",323,3.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Salmo salar,"Pacific King salmon fillet without skin, produced by aquaculture that has been steamed with no added fat.",1352,21.3,30,0,6.65,0
"Salmon, red, canned in brine, drained",147,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Salmonidae family,"Flesh, bones and skin of fish labelled as being red salmon, canned in brine, then drained.",617,24.4,350,0,1.14,0
"Sardine, Australian, whole, fried, no added fat",106,3.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Sardinops sagax,Australian sardines that have been fried with no added fat.,444,22,794,0,0.59,0
"Sardine, Australian, whole, raw",105,3.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Sardinops sagax,Uncooked Australian sardines.,442,19.7,665,0,1.17,0
"Scallop, raw",83,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pectinidae Family,Uncooked flesh and roe of a scallop.,351,15.6,150,0.8,0.14,0
"Shallot, peeled, fresh, fried, no added fat",41,4,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium cepa,"Immature onion with a thin cylindrical white base, and long dark green stalks. Fried without added fat.",172,2.4,9,5,0,4.7
"Shallot, peeled, fresh, raw",25,3.5,0.5,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Allium cepa,"Immature onion with a thin cylindrical white base, and long dark green stalks. Uncooked.",107,1.5,6,3.1,0,2.9
"Shark, battered, deep-fried, takeaway outlet",260,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Mustelus spp,"Shark or flake fillet without skin, coated in batter and deep fried, purchased ready to eat from a takeaway outlet.",1090,15.5,295,1.5,3.39,1.3
"Shark, fillet, without skin, raw",103,4.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D","Mustelus spp, Galeorhinus galeus, Carcharinus tilstoni","Uncooked shark or flake (typically Gummy, School and Black Tipped shark) fillet without skin.",435,24.6,180,0,0.1,0
"Shark, fillet, without skin, steamed, no added fat",116,4.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D","Mustelus spp, Galeorhinus galeus, Carcharinus tilstoni","Shark or flake (typically Gummy, School and Black Tipped shark) fillet without skin that has been steamed with no added fat.",488,27.7,162,0,0.11,0
"Silver perch, aquacultured, baked, no added fat",302,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Bidyanus bidyanus,"Silver perch fillet, produced in Australia by aquaculture, that has been baked with no added fat.",1266,26.7,96,0,5.85,0
"Silver perch, aquacultured, raw",220,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Bidyanus bidyanus,"Uncooked silver perch fillet, produced in Australia by aquaculture.",924,19.5,70,0,4.27,0
"Silver perch, aquacultured, steamed, no added fat",262,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Bidyanus bidyanus,"Silver perch fillet, produced in Australia by aquaculture, that has been steamed with no added fat.",1100,23.2,71,0,5.08,0
"Silverbeet, fresh, boiled, drained",18,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Beta vulgaris sp. cicla,"Vegetable similar to spinach, with large white stem and frilly dark green leaves. Chopped and boiled in unsalted water, without added fat, then drained.",77,1.8,218,1.2,0,2.3
"Silverbeet, fresh, raw",15,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Beta vulgaris ssp. cicla,"Vegetable similar to spinach, with large white stem and frilly dark green leaves. Uncooked.",66,1.5,195,1,0,2
"Snapper, fillet, baked, no added fat",132,4.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pagrus auratus,Snapper fillet that has been baked with no added fat.,554,27.8,116,0,0.63,0
"Snapper, fillet, raw",96,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pagrus auratus,Uncooked snapper fillet.,405,20.3,85,0,0.46,0
"Snapper, fillet, steamed, no added fat",132,4.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pagrus auratus,Snapper fillet that has been steamed with no added fat.,554,27.8,93,0,0.63,0
"Snow pea, fresh, boiled, drained",40,3.5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,"A long flat green pod, containing small round green peas. Chopped and boiled in unsalted water, without added fat, then drained.",169,3.2,1,3.1,0,2.8
"Snow pea, fresh, fried, no added fat",46,4,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,"A long flat green pod, containing small round green peas. Chopped and fried without added fat.",196,3.8,1,3.6,0,3.2
"Snow pea, fresh, raw",37,3.5,1.79,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Pisum sativum,"A flat green edible pod, containing small round green peas. Uncooked.",157,3,1,2.9,0,2.6
"Spinach, baby, fresh, raw",16,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Spinacia oleracea,Leafy vegetable with vivid green leaves. Uncooked.,68,2.8,90,0,0,2.5
"Spinach, Mature English, fresh, boiled, drained",23,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Spinacia oleracea,"Leafy vegetable, with vivid green, slightly crinkled leaves on fine stems. Boiled in unsalted water, without added fat, then drained.",97,2.8,23,0.7,0,2.9
"Spinach, Mature English, fresh, raw",19,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Spinacia oleracea,"Leafy vegetable with vivid green, slightly crinkled leaves on fine stems. Uncooked.",82,2.4,21,0.6,0,2.5
"Spinach, water, fresh, raw",26,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Ipomoea aquatica,Leaves and stems of a creeping herbaceous vine. Some varieties have purple stems. Uncooked.,110,2.9,25,0.5,0,2.8
"Sprat, blue, wild caught, flesh, skin & bones, raw",90,3.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Spratelloides robustus or Sardinops sagax,"Fish described as Australian sardines but of two species (Sardinops sagax and Spratelloides robustus). Wild harvested, uncooked.",378,18.7,675,0,0.5,0
"Sprout, alfalfa, fresh, raw",21,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Medicago sativa,"A very fine, short sprout with a pale green stalk and fresh green tip. Uncooked.",91,3.2,39,0.5,0,2.2
"Sprout, bean, fresh, raw",22,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vigna radiata,"Sprouted from mung bean seeds, long and translucent to white in colour, with a short tapering green sheathed root. Uncooked.",94,3.1,1,1,0,1.3
"Squash, button, fresh, boiled, drained",31,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita pepo,"Small, rounded vegetable fruit, generally with a yellow skin. Boiled in unsalted water, without added fat, then drained.",131,3.2,1,3.5,0,0.6
"Squash, button, fresh, raw",26,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita pepo,"Small, rounded vegetable fruit, generally with a yellow skin. Uncooked.",110,2.7,1,2.9,0,0.5
"Squash, scallopini, fresh, boiled, drained",23,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita pepo,"Small, rounded vegetable fruit, generally with a green skin. Boiled in unsalted water, without added fat, then drained.",100,2.6,10,2.4,0,0.6
"Squash, scallopini, fresh, raw",20,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita pepo,"Small, rounded vegetable fruit, generally with a green skin. Uncooked.",84,2.2,9,2,0,0.5
"Squid or calamari, fried, no added fat",97,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Order Teuthoidea,"Squid tubes, cut into ring shapes that have been fried with no added fat.",410,20.9,355,0,0.39,0
"Squid or calamari, raw",78,4,23.99,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Order Teuthoidea,Uncooked squid tubes.,328,16.7,284,0,0.31,0
"Strawberry, raw",26,3.5,1.52,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Fragaria ananassa Duch.,Small sweet red berry with small seeds on the exterior.,109,0.7,0,3.8,0,2.5
"Sugar, white, granulated or lump",382,0.5,3.16,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Sucrose,"Purified extract from the sugar cane plant that is composed almost entirely of sucrose and may be supplied in lumps, coarse or fine granules or as a powder.",1600,0,0,100,0,0
Sultana,255,2.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Vitis vinifera,"Dried green grapes, dark brown in colour.",1068,2.6,7,59,0,3.3
"Swede, peeled, fresh, boiled, drained",23,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica napus var. napobrassica.,"Root vegetable with yellow flesh and pale yellow skin. Peeled and boiled in unsalted water, without added fat, then drained.",100,1,12,3.7,0,2.4
"Swede, peeled, fresh, raw",22,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica napus var. napobrassica,Root vegetable with yellow flesh and pale yellow skin. Peeled and uncooked.,93,0.9,12,3.4,0,2.2
"Sweet potato, orange flesh, peeled, fresh, baked, no added fat",85,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Ipomoea batatas,"A long, large tuberous vegetable, with red skin and orange flesh. Peeled, chopped and baked without added fat.",357,2.3,12,6.8,0,3.1
"Sweet potato, orange flesh, peeled, fresh, boiled, drained",75,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Ipomoea batatas,"A long, large tuberous vegetable, with red skin and orange flesh. Peeled, chopped and boiled in unsalted water, without added fat, then drained.",315,2,10,6,0,2.7
"Sweet potato, orange flesh, peeled, fresh, raw",70,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Ipomoea batatas,"A long, large tuberous vegetable, with red skin and orange flesh. Peeled and uncooked.",293,1.9,10,5.6,0,2.6
"Tamarillo, peeled, raw",35,4,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cyphomandra betacea,"Small fruit with a smooth peel that can be purple, red, orange, or yellow. It has a black or orange flesh (the darker the peel, the darker the flesh) surrounding a nest of seeds",150,2,1,3.4,0,4.7
"Tamarind, paste, pure",250,3,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Tamarindus indica,"Paste prepared exclusively with the pulp of ripe Tamarindus indica pod seeds, commonly used in tropical cuisine sauces.",1048,2.8,28,38.8,0.26,5.1
"Tangelo, peeled, raw",41,3.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus paradisi x C. reticulata,"Mandarin grapefruit cross. Cultivars include: Orlando, Minneola, Seminole and San Jucinto.",172,0.6,4,7.8,0,2
"Tangerine or tangor, peeled, raw",43,3.5,0.37,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Citrus sinensis x Citrus reticulata,Mandarin orange cross.,180,1,2,8.1,0,1.5
"Taro, peeled, fresh, boiled, drained",120,4,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Colocasia esculanta,"Tuber vegetable with light brown rough skin and cream to pink flesh. Peeled and boiled in unsalted water, without added fat, then drained.",504,2,6,1.2,0,3.8
"Taro, peeled, fresh, raw",112,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Colocasia esculenta,Tuber vegetable with a light brown rough skin and a cream to pink flesh. Peeled and uncooked.,469,1.9,6,1.1,0,3.5
"Tilapia, fillet, raw",114,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Oreochromis mossambica,"Uncooked tilapia fillet, produced by aquaculture and imported into Australia.",477,18.5,84,0,1.37,0
"Tilapia, fillet, steamed, no added fat",135,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Oreochromis mossambica,"Tilapia fillet, produced by aquaculture and imported into Australia, that has been steamed with no added fat.",568,22,85,0,1.63,0
"Tomato, cherry, raw",15,3.5,2.01,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lycopersicon esculentum,"Small and round in shape, with a bright red shiny skin and red pulp with whitish seeds. Uncooked.",65,0.5,10,2.2,0,1.7
"Tomato, common, raw",17,3.5,2.01,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lycopersicon esculentum,"Round in shape, with a bright red shiny skin and red pulp and whitish seeds. Uncooked.",73,0.6,4,2.5,0,1.1
"Tomato, roma, raw",17,3.5,2.01,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Lycopersicon esculentum,"Oval in shape, with a bright red shiny skin and red pulp and whitish seeds. Uncooked.",74,1,8,2.3,0,1.2
"Trout, ocean, aquacultured, fillet, without skin, raw",288,3.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Oncorhynchus mykiss,"Uncooked ocean trout, produced in Australia by aquaculture.",1205,17.4,247,0,6.24,0
"Trout, rainbow, aquacultured, baked, no added fat",211,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Oncorhynchus mykiss,"Rainbow trout (including some skin), produced in Australia by aquaculture that has been baked with no added fat.",883,26.8,96,0,3.44,0
"Trout, rainbow, aquacultured, raw",154,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Oncorhynchus mykiss,"Uncooked rainbow trout (including some skin), produced in Australia by aquaculture.",645,19.6,70,0,2.51,0
"Trout, rainbow, aquacultured, steamed, no added fat",183,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Oncorhynchus mykiss,"Rainbow trout with or without skin, cooked by steaming, without added fat or oil.",767,23.3,71,0,2.99,0
"Tuna, yellowfin, flesh, baked, no added fat",142,4.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Thunnus albacares,"Yellowfin tuna flesh, that has been baked with no added fat or oil.",596,32.1,51,0,0.33,0
"Tuna, yellowfin, flesh, raw",103,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Thunnus albacares,Uncooked yellowfin tuna flesh.,435,23.4,37,0,0.24,0
"Tuna, yellowfin, flesh, steamed, no added fat",123,4.5,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Thunnus albacares,"Yellowfin tuna flesh, that has been steamed with no added fat.",518,27.9,37,0,0.28,0
"Turkey, breast, lean flesh, baked, no added fat",154,4.5,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Meleagris gallopavo,"Flesh from the breast portion of a turkey, with skin and fat removed. Baked with no added fat.",648,29.4,210,0,1.08,0
"Turkey, breast, lean flesh, raw",117,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Meleagris gallopavo,"Uncooked flesh from the breast portion of a turkey, with skin and fat removed.",490,21.6,240,0,0.89,0
"Turkey, breast, lean flesh, skin & fat, baked, no added fat",193,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Meleagris gallopavo,"Flesh, skin and fat from the breast portion of a turkey. Baked with no added fat.",810,27.7,199,0,2.56,0
"Turkey, breast, lean flesh, skin & fat, raw",158,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Meleagris gallopavo,"Uncooked flesh, skin and fat from the breast portion of a turkey.",663,20.4,217,0,2.39,0
"Turkey, hindquarter, lean flesh, baked, no added fat",170,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Meleagris gallopavo,"Flesh from the hindquarter (thigh and drumstick) portion of a turkey, with skin and fat removed. Baked with no added fat.",714,26.8,170,0,2.41,0
"Turkey, hindquarter, lean flesh, raw",121,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Meleagris gallopavo,"Uncooked flesh from the hindquarter (thigh and drumstick) portion of a turkey, with skin and fat removed.",510,18.4,260,0,1.82,0
"Turkey, hindquarter, lean flesh, skin & fat, baked, no added fat",217,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Meleagris gallopavo,"Flesh, skin and fat from the hindquarter (thigh and drumstick) portion of a turkey. Baked with no added fat.",911,25.6,165,0,4.4,0
"Turkey, hindquarter, lean flesh, skin & fat, raw",186,4,9.82,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Meleagris gallopavo,"Uncooked flesh, skin and fat from the hindquarter (thigh and drumstick) portion of a turkey.",782,18.6,237,0,4.3,0
"Turnip, white, peeled, fresh, boiled, no added fat",24,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica campestris var. rapifera,"A white fleshed tuber vegetable, with purple-flushed white skin. Peeled, chopped and boiled in unsalted water, without added fat, then drained.",101,1.4,25,3.4,0,1.8
"Turnip, white, peeled, fresh, raw",22,3.5,0.43,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Brassica campestris var. rapifera,A white fleshed root vegetable with purple-flushed white skin. Peeled and uncooked.,94,1.3,24,3.2,0,1.7
"Water chestnut, peeled, canned, drained",52,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Eleocharis dulcis,"Water chestnuts that have been canned in water, then drained.",219,0.6,10,5.1,0.27,2.7
"Watercress, raw",26,4,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Nasturtium officinale,"Leafy vegetable with small green round leaves that have a peppery flavour, commonly used as a salad ingredient.",110,2.9,48,0.7,0,3.8
"Wax jambu, raw",26,3.5,1.06,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Syzygium samarangense (Blume) Merrill & L.M. Perry,"Pear-shaped fruit with bright to dark pink skin, white flesh and several large brown seeds. Also known as Java Apple; Rose Apple; Makopa; Wax Apple.",109,0.7,1,4.5,0,1.9
"Wheat, whole, uncooked",326,5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Triticum sp,"Whole wheat grain including the bran, germ and endosperm.",1367,11.5,2,1.3,0.36,11.4
"Whiting, King George, flesh, raw",86,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Silaginodes punctata,Uncooked king george whiting flesh,362,19.8,70,0,0.18,0
"Whiting, King George, flesh, steamed, no added fat",104,4,12.51,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Silaginodes punctata,King george whiting flesh that has been steamed with no added fat.,437,23.3,69,0,0.28,0
"Yam, wild harvested, cooked",70,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Dioscorea transversa,Irregularly shaped tuber with white skin and flesh. Harvested in the wild and cooked without added fat.,296,3.2,4,0.2,0,2.1
"Yeast, dry powder",269,5,1.58,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Saccharomyces cerevisiae,"A cream or pale grey powder with a fine, smooth texture. Active raising agent used domestically to leaven a wide range of breads, cakes and pastries.",1126,36.4,170,0,0.75,26.9
"Zucchini, golden, fresh, unpeeled, boiled, drained",22,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita pepo,"Variety of squash which has a yellow smooth skin and a cream flesh. Unpeeled, chopped and boiled in unsalted water, without added fat, then drained.",93,2.6,1,1.3,0,1.2
"Zucchini, golden, fresh, unpeeled, raw",18,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita pepo,Variety of squash which has a yellow smooth skin and a cream flesh. Unpeeled and uncooked.,78,2.2,1,1.1,0,1
"Zucchini, green skin, fresh, unpeeled, boiled, drained",18,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita pepo,"Variety of marrow or summer squash, picked when small. Long and cylindrical in shape with green smooth skin and a cream flesh. Unpeeled, chopped and boiled in unsalted water, without added fat, then drained.",77,1.1,1,2,0,1.3
"Zucchini, green skin, fresh, unpeeled, fried, no added fat",21,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita pepo,"A variety of summer squash, picked when small. Long and cylindrical in shape with green smooth skin and a cream flesh. Unpeeled, chopped and fried without added fat.",92,1.3,1,2.4,0,1.6
"Zucchini, green skin, fresh, unpeeled, raw",15,3.5,0.53,"All foods other than those included in Category 1, 1D, 2D, 3 or 3D",Cucurbita pepo,"Variety of marrow or summer squash, picked when small. Long and cylindrical in shape with green smooth skin and a cream flesh. Unpeeled and uncooked.",65,0.9,1,1.7,0,1.1
